SQL_INJECION_DATA : [1, 'Кирилл', 'Козлов', 'Ярославль', '2024-06-08', '19:00:30']
SQL_INJECION_DATA : [2, 'Фёдор', 'Смирнов', 'Казань', '2024-06-17', '18:18:35']
SQL_INJECION_DATA : [3, 'Андрей', 'Никитин', 'Барнаул', '2024-06-11', '20:23:27']
SQL_INJECION_DATA : [4, 'Андрей', 'Соколов', 'Махачкала', '2024-06-08', '19:35:17']
SQL_INJECION_DATA : [5, 'Алексей', 'Алексеев', 'Рязань', '2024-06-10', '18:23:43']
SQL_INJECION_DATA : [6, 'Григорий', 'Егоров', 'Самара', '2024-06-06', '15:09:14']
SQL_INJECION_DATA : [7, 'Тимофей', 'Фёдоров', 'Кемерово', '2024-06-15', '12:51:20']
SQL_INJECION_DATA : [8, 'Константин', 'Николаев', 'Воронеж', '2024-06-13', '14:49:53']
SQL_INJECION_DATA : [9, 'Алексей', 'Смирнов', 'Нижний Новгород', '2024-06-10', '14:43:12']
SQL_INJECION_DATA : [10, 'Владислав', 'Макаров', 'Нижний Новгород', '2024-06-04', '14:28:19']
SQL_INJECION_DATA : [11, 'Антон', 'Новиков', 'Тюмень', '2024-06-03', '12:34:39']
SQL_INJECION_DATA : [12, 'Олег', 'Смирнов', 'Новокузнецк', '2024-06-08', '11:24:06']
SQL_INJECION_DATA : [13, 'Максим', 'Борисов', 'Уфа', '2024-06-19', '20:06:54']
SQL_INJECION_DATA : [14, 'Михаил', 'Васильев', 'Самара', '2024-06-16', '13:32:14']
SQL_INJECION_DATA : [15, 'Антон', 'Кузнецов', 'Ижевск', '2024-06-13', '18:20:55']
SQL_INJECION_DATA : [16, 'Виктор', 'Семенов', 'Ростов-на-Дону', '2024-06-09', '16:12:06']
SQL_INJECION_DATA : [17, 'Антон', 'Захаров', 'Краснодар', '2024-06-14', '14:20:40']
SQL_INJECION_DATA : [18, 'Фёдор', 'Волков', 'Ярославль', '2024-06-14', '15:59:09']
SQL_INJECION_DATA : [19, 'Артём', 'Васильев', 'Воронеж', '2024-06-07', '12:41:46']
SQL_INJECION_DATA : [20, 'Григорий', 'Иванов', 'Иркутск', '2024-06-03', '17:10:38']
SQL_INJECION_DATA : [21, 'Максим', 'Волков', 'Москва', '2024-06-05', '15:34:06']
SQL_INJECION_DATA : [22, 'Руслан', 'Захаров', 'Махачкала', '2024-06-06', '12:34:25']
SQL_INJECION_DATA : [23, 'Илья', 'Новиков', 'Ижевск', '2024-06-19', '15:30:29']
SQL_INJECION_DATA : [24, 'Григорий', 'Лебедев', 'Барнаул', '2024-06-20', '10:49:52']
SQL_INJECION_DATA : [25, 'Вадим', 'Никитин', 'Нижний Новгород', '2024-06-06', '16:26:07']
SQL_INJECION_DATA : [26, 'Иван', 'Павлов', 'Нижний Новгород', '2024-06-20', '12:49:36']
SQL_INJECION_DATA : [27, 'Андрей', 'Кузнецов', 'Ярославль', '2024-06-19', '19:38:29']
SQL_INJECION_DATA : [28, 'Михаил', 'Фёдоров', 'Кемерово', '2024-06-11', '19:17:41']
SQL_INJECION_DATA : [29, 'Михаил', 'Смирнов', 'Новосибирск', '2024-06-18', '10:16:17']
SQL_INJECION_DATA : [30, 'Виктор', 'Соловьёв', 'Махачкала', '2024-06-18', '18:26:05']
SQL_INJECION_DATA : [31, 'Фёдор', 'Степанов', 'Хабаровск', '2024-06-15', '15:03:20']
SQL_INJECION_DATA : [32, 'Андрей', 'Новиков', 'Ростов-на-Дону', '2024-06-12', '13:45:54']
